"Code du chapitre SH";"Libellé du chapitre SH";"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Code de la section CTCI";"Libellé de la section CTCI";"Poids en KG Janvier 2000";"Poids en KG Février 2000";"Poids en KG Mars 2000";"Poids en KG Avril 2000";"Poids en KG Mai 2000";"Poids en KG Juin 2000";"Poids en KG Janvier 2001";"Poids en KG Février 2001";"Poids en KG Mars 2001";"Poids en KG Avril 2001";"Poids en KG Mai 2001";"Poids en KG Juin 2001";
"64";"CHAUSSURES, GUÊTRES ET ARTICLES ANALOGUES";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"915672";"1019204";"854884";"1006981";"1285997";"1388554";"1021134";"974149";"848378";"853317";"1117485";"1317813";
"64";"CHAUSSURES, GUÊTRES ET ARTICLES ANALOGUES";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"1849904";"2154487";"1759191";"1415434";"1503101";"1997547";"1906826";"2103800";"2003410";"1844792";"1871230";"2087952";
"65";"COIFFURES ET PARTIES DE COIFFURES";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"0";"240";"0";"120";"0";"0";"120";"0";"0";"0";"0";"0";
"65";"COIFFURES ET PARTIES DE COIFFURES";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"8413";"7985";"11371";"4146";"3138";"12420";"11308";"8791";"14877";"27898";"14221";"19672";
"65";"COIFFURES ET PARTIES DE COIFFURES";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"10006";"6908";"9830";"11716";"6672";"8181";"6006";"4822";"5678";"5004";"6320";"4302";
"65";"COIFFURES ET PARTIES DE COIFFURES";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"0";"1652";"0";"513";"0";"0";"0";"0";"109";"1004";"892";"0";
"66";"PARAPLUIES, PARASOLS, CANNES, SIÈGES, FOUETS, CRAVACHES";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"294";"935";"21740";"6688";"36559";"73546";"1189";"30054";"26897";"56636";"24641";"36443";
"66";"PARAPLUIES, PARASOLS, CANNES, SIÈGES, FOUETS, CRAVACHES";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"0";"310";"23257";"0";"50517";"12002";"23594";"1275";"0";"46449";"20250";"15800";
"67";"PLUMES, DUVETS APPRÊTÉS, FLEURS ARTIFICIELLES";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"0";"0";"0";"0";"0";"222";"0";"0";"188";"0";"176";"0";
"67";"PLUMES, DUVETS APPRÊTÉS, FLEURS ARTIFICIELLES";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"22968";"45727";"219253";"17925";"10998";"63659";"69513";"37381";"24671";"42667";"43833";"40413";
"68";"OUVRAGES EN PIERRES, PLÂTRE, CIMENT, AMIANTE, MICA";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"2628971";"2032459";"2675198";"1578187";"3579899";"3099838";"2237985";"3649555";"2459492";"2742738";"2713424";"2882182";
"68";"OUVRAGES EN PIERRES, PLÂTRE, CIMENT, AMIANTE, MICA";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"733882";"699878";"819318";"619898";"1128625";"1157271";"1474981";"1218693";"1696722";"1639264";"1886835";"1648141";
"69";"PRODUITS CÉRAMIQUES";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"1715372";"3368325";"1992295";"1137576";"1715800";"1878033";"1720193";"1691557";"1065381";"867106";"1804048";"1829133";
"69";"PRODUITS CÉRAMIQUES";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"2888971";"3389992";"3565576";"2822098";"3987385";"3196900";"3252667";"3122867";"3686875";"3631852";"4318174";"3979320";
